absolute_timestamp,gyro_x,gyro_y,gyro_z
1775858378878,-0.050,0.031,-0.007
1775858378898,-0.034,0.037,-0.003
1775858378918,-0.020,0.045,0.006
1775858378938,-0.010,0.053,0.013
1775858378957,0.000,0.060,0.012
1775858378977,-0.003,0.063,0.013
1775858378997,-0.009,0.067,0.009
1775858379017,-0.012,0.073,0.009
1775858379037,-0.018,0.077,0.009
1775858379056,-0.018,0.075,0.003
1775858379076,-0.016,0.068,-0.004
1775858379096,-0.010,0.058,-0.009
1775858379116,0.000,0.044,-0.016
1775858379135,0.012,0.029,-0.021
1775858379155,0.020,0.013,-0.013
1775858379175,0.030,-0.001,-0.005
1775858379195,0.038,-0.008,-0.000
1775858379214,0.039,-0.007,0.003
1775858379234,0.030,-0.002,0.005
1775858379254,0.017,0.002,0.004
1775858379274,0.009,0.005,-0.010
1775858379294,0.006,0.007,-0.024
1775858379313,0.008,0.000,-0.026
1775858379333,0.018,-0.010,-0.021
1775858379353,0.028,-0.020,-0.015
1775858379373,0.040,-0.023,-0.003
1775858379392,0.044,-0.022,0.018
1775858379412,0.041,-0.014,0.032
1775858379432,0.024,-0.003,0.027
1775858379452,0.006,0.008,0.009
1775858379472,0.001,0.013,-0.005
1775858379491,0.005,0.009,-0.000
1775858379511,0.005,0.009,0.003
1775858379531,0.007,0.009,-0.003
1775858379551,0.008,0.003,-0.004
1775858379570,0.006,0.000,-0.003
1775858379590,0.008,0.000,0.003
1775858379610,0.009,0.001,0.007
1775858379630,0.009,0.008,0.001
1775858379649,0.007,0.013,-0.012
1775858379669,0.008,0.013,-0.022
1775858379689,0.004,0.010,-0.024
1775858379709,0.012,0.007,-0.025
1775858379728,0.022,0.006,-0.032
1775858379748,0.031,0.007,-0.032
1775858379768,0.025,0.002,-0.017
1775858379788,0.015,0.001,-0.003
1775858379808,0.007,0.002,0.011
1775858379827,-0.005,0.002,0.022
1775858379847,-0.014,0.005,0.031
1775858379867,-0.017,0.006,0.041
1775858379887,-0.009,0.008,0.044
1775858379906,-0.005,0.010,0.037
1775858379926,-0.008,0.014,0.026
1775858379946,-0.009,0.018,0.008
1775858379966,-0.007,0.018,-0.010
1775858379985,-0.003,0.014,-0.019
1775858380005,-0.005,0.012,-0.017
1775858380025,-0.006,0.011,-0.013
1775858380045,-0.007,0.011,-0.011
1775858380065,-0.012,0.015,-0.015
1775858380084,-0.014,0.014,-0.014
1775858380104,-0.018,0.010,-0.016
1775858380124,-0.019,0.011,-0.019
1775858380144,-0.013,0.006,-0.018
1775858380163,-0.006,-0.001,-0.018
1775858380183,0.003,-0.011,-0.023
1775858380203,0.011,-0.020,-0.026
1775858380223,0.014,-0.026,-0.017
1775858380242,0.014,-0.023,-0.004
1775858380262,0.009,-0.018,0.008
1775858380282,0.002,-0.011,0.010
1775858380302,0.002,-0.002,0.004
1775858380321,0.000,0.006,0.001
1775858380341,-0.002,0.016,-0.005
1775858380361,-0.001,0.026,-0.006
1775858380381,-0.005,0.027,0.003
1775858380401,-0.010,0.021,0.016
1775858380420,-0.011,0.013,0.019
1775858380440,-0.012,0.009,0.026
1775858380460,-0.018,0.001,0.039
1775858380480,-0.021,0.000,0.042
1775858380499,-0.021,-0.002,0.028
1775858380519,-0.023,-0.003,0.017
1775858380539,-0.027,-0.004,0.014
1775858380559,-0.022,-0.007,0.006
1775858380578,-0.010,-0.011,0.001
1775858380598,-0.001,-0.016,-0.000
1775858380618,0.010,-0.013,-0.003
1775858380638,0.017,-0.008,0.001
1775858380657,0.023,-0.001,0.001
1775858380677,0.030,0.006,-0.009
1775858380697,0.027,0.015,-0.013
1775858380717,0.021,0.017,-0.014
1775858380736,0.027,0.009,-0.030
1775858380756,0.028,-0.004,-0.044
1775858380776,0.021,-0.019,-0.053
1775858380796,0.009,-0.032,-0.057
1775858380816,-0.009,-0.047,-0.058
1775858380835,-0.021,-0.054,-0.063
1775858380855,-0.015,-0.065,-0.062
1775858380875,-0.017,-0.074,-0.047
1775858380895,-0.023,-0.068,-0.025
1775858380914,-0.024,-0.057,-0.005
1775858380934,-0.018,-0.047,0.012
1775858380954,-0.009,-0.035,0.020
1775858380974,0.003,-0.022,0.020
1775858380993,0.013,-0.017,0.028
1775858381013,0.017,-0.017,0.033
1775858381033,0.021,-0.016,0.022
1775858381053,0.019,-0.017,0.009
1775858381072,0.010,-0.020,0.008
