absolute_timestamp,gyro_x,gyro_y,gyro_z
1775859189216,0.013,0.014,0.006
1775859189236,0.012,0.010,0.004
1775859189256,0.010,0.005,0.002
1775859189276,0.009,0.005,0.000
1775859189295,0.006,0.006,-0.001
1775859189315,0.002,0.006,-0.001
1775859189335,0.000,0.005,0.002
1775859189355,-0.002,0.006,-0.003
1775859189374,-0.006,0.006,-0.008
1775859189394,-0.013,0.011,0.001
1775859189414,-0.017,0.020,0.003
1775859189434,-0.021,0.022,0.001
1775859189454,-0.025,0.024,-0.000
1775859189473,-0.031,0.029,0.001
1775859189493,-0.035,0.031,0.000
1775859189513,-0.038,0.024,-0.001
1775859189533,-0.041,0.024,-0.000
1775859189552,-0.050,0.030,-0.001
1775859189572,-0.060,0.037,-0.002
1775859189592,-0.072,0.048,-0.004
1775859189612,-0.086,0.059,-0.005
1775859189631,-0.107,0.065,-0.010
1775859189651,-0.116,0.068,-0.012
1775859189671,-0.107,0.066,-0.014
1775859189691,-0.091,0.065,-0.010
1775859189711,-0.077,0.069,-0.006
1775859189730,-0.071,0.073,-0.003
1775859189750,-0.068,0.080,-0.004
1775859189770,-0.069,0.080,-0.008
1775859189790,-0.077,0.077,-0.014
1775859189809,-0.084,0.073,-0.014
1775859189829,-0.078,0.070,-0.008
1775859189849,-0.061,0.066,-0.008
1775859189869,-0.051,0.059,-0.007
1775859189888,-0.046,0.057,-0.008
1775859189908,-0.040,0.056,-0.007
1775859189928,-0.036,0.057,-0.004
1775859189948,-0.037,0.054,-0.003
1775859189968,-0.032,0.050,-0.002
1775859189987,-0.033,0.042,-0.010
1775859190007,-0.039,0.037,-0.005
1775859190027,-0.049,0.043,0.008
1775859190047,-0.050,0.053,0.018
1775859190066,-0.051,0.057,0.019
1775859190086,-0.052,0.060,0.016
1775859190106,-0.052,0.064,0.017
1775859190126,-0.045,0.073,0.019
1775859190146,-0.040,0.072,0.018
1775859190165,-0.040,0.065,0.013
1775859190185,-0.043,0.060,0.010
1775859190205,-0.048,0.059,0.011
1775859190225,-0.047,0.059,0.018
1775859190244,-0.039,0.056,0.017
1775859190264,-0.027,0.047,0.017
1775859190284,-0.018,0.040,0.021
1775859190304,-0.019,0.040,0.024
1775859190324,-0.028,0.037,0.018
1775859190343,-0.036,0.031,0.015
1775859190363,-0.037,0.026,0.014
1775859190383,-0.032,0.024,0.019
1775859190403,-0.029,0.025,0.019
1775859190422,-0.026,0.025,0.017
1775859190442,-0.021,0.024,0.017
1775859190462,-0.015,0.027,0.022
1775859190482,-0.012,0.037,0.022
1775859190501,-0.015,0.043,0.016
1775859190521,-0.018,0.041,0.012
1775859190541,-0.017,0.038,0.011
1775859190561,-0.017,0.033,0.008
1775859190581,-0.017,0.028,0.003
1775859190600,-0.010,0.023,-0.005
1775859190620,-0.004,0.012,-0.015
1775859190640,0.002,0.000,-0.012
1775859190660,0.006,0.000,-0.002
1775859190679,0.006,0.009,0.000
1775859190699,-0.001,0.010,-0.001
1775859190719,-0.011,0.010,-0.000
1775859190739,-0.013,0.014,-0.003
1775859190759,-0.010,0.010,-0.007
1775859190778,-0.004,0.006,-0.008
1775859190798,-0.001,0.006,-0.011
1775859190818,-0.002,0.007,-0.013
1775859190838,-0.005,0.008,-0.010
1775859190857,-0.002,0.013,-0.002
1775859190877,0.008,0.017,-0.000
1775859190897,0.014,0.017,-0.002
1775859190917,0.015,0.019,-0.001
1775859190936,0.009,0.012,-0.018
1775859190956,-0.008,-0.010,-0.024
1775859190976,-0.012,-0.019,-0.007
1775859190996,0.001,-0.013,0.001
1775859191016,0.007,-0.014,0.000
1775859191035,0.008,-0.012,0.003
1775859191055,0.007,-0.006,-0.001
1775859191075,0.002,-0.005,-0.011
1775859191095,-0.001,-0.006,-0.016
1775859191114,0.000,-0.003,-0.017
1775859191134,0.003,-0.001,-0.023
1775859191154,0.010,-0.009,-0.031
1775859191174,0.013,-0.020,-0.024
1775859191193,0.021,-0.022,-0.017
1775859191213,0.027,-0.037,-0.025
1775859191233,0.023,-0.064,-0.036
1775859191253,0.017,-0.077,-0.028
1775859191272,0.016,-0.067,-0.022
1775859191292,0.014,-0.059,-0.028
1775859191312,0.012,-0.059,-0.033
1775859191332,0.014,-0.051,-0.038
1775859191352,0.016,-0.042,-0.040
1775859191371,0.017,-0.041,-0.043
1775859191391,0.014,-0.042,-0.045
1775859191411,0.007,-0.047,-0.042
1775859191431,0.002,-0.050,-0.035
1775859191450,0.001,-0.053,-0.029
1775859191470,0.004,-0.061,-0.027
1775859191490,0.005,-0.073,-0.032
1775859191510,0.008,-0.076,-0.032
1775859191530,0.013,-0.073,-0.028
1775859191549,0.019,-0.073,-0.026
1775859191569,0.022,-0.075,-0.028
1775859191589,0.024,-0.075,-0.030
1775859191609,0.029,-0.073,-0.031
1775859191628,0.035,-0.073,-0.033
1775859191648,0.039,-0.074,-0.039
1775859191668,0.039,-0.083,-0.049
1775859191688,0.040,-0.099,-0.052
1775859191707,0.052,-0.118,-0.052
1775859191727,0.063,-0.143,-0.061
1775859191747,0.063,-0.170,-0.080
1775859191767,0.063,-0.190,-0.091
1775859191787,0.070,-0.199,-0.089
1775859191806,0.081,-0.203,-0.087
1775859191826,0.081,-0.203,-0.080
1775859191846,0.073,-0.192,-0.065
1775859191866,0.068,-0.179,-0.061
1775859191885,0.066,-0.175,-0.064
1775859191905,0.069,-0.165,-0.062
1775859191925,0.073,-0.149,-0.053
1775859191945,0.075,-0.130,-0.042
1775859191964,0.073,-0.113,-0.037
1775859191984,0.071,-0.099,-0.038
1775859192004,0.069,-0.091,-0.042
1775859192024,0.071,-0.087,-0.042
1775859192044,0.070,-0.082,-0.037
1775859192063,0.068,-0.082,-0.038
1775859192083,0.070,-0.091,-0.044
1775859192103,0.072,-0.095,-0.045
1775859192123,0.073,-0.097,-0.042
1775859192142,0.072,-0.095,-0.037
1775859192162,0.070,-0.091,-0.033
1775859192182,0.069,-0.089,-0.032
