time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,local_time
1775952543003981300,54.72898120117188,155.17640314158052,2.1065735630489826,-1,32.95328030340048,182.67169580515474,-1,17.951651289227335,5.00390737638562,-96.7949168525207,0.15955856901968749,2026-04-11T19:09:03.003-05:00
1775952544003988500,55.728988525390626,155.2082353811711,1.658677812282,-1,32.95328450136195,182.70352804474533,-1,17.66274393079537,5.348810138572707,-96.79492138041203,0.15152383331263675,2026-04-11T19:09:04.003-05:00
1775952545003995600,56.72899560546875,155.34121357277036,1.4083009042324077,-1,32.95327702490279,182.83650623634458,-1,17.66274393079537,5.595713000903272,-96.79492542030249,0.1551800075873479,2026-04-11T19:09:05.003-05:00
1775952546004002800,57.7290029296875,155.33976688794792,1.7377017574086537,-1,32.953279824885264,182.83505955152214,-1,17.66274393079451,4.93895123725358,-96.79492153147031,0.22424652374727225,2026-04-11T19:09:06.004-05:00
1775952547004010000,58.729010009765624,155.4321223627776,1.5561900972539098,-1,32.953285947315806,182.9274150263518,-1,17.623972788499056,4.948096166740847,-96.79491865821169,0.06516358272923467,2026-04-11T19:09:07.004-05:00
1775952548004016600,59.7290166015625,155.31211066618562,1.3309655423832754,-1,32.9532964061382,182.80740332975984,-1,17.21401234075037,5.330313524969288,-96.79491757567915,0.0381025827318225,2026-04-11T19:09:08.004-05:00
1775952549004025000,60.729025146484375,155.4054776681587,1.4520414397984924,-1,32.95329546822965,182.90077033173293,-1,17.59229652040199,5.409899418184938,-96.79491348145822,0.1700366414622499,2026-04-11T19:09:09.004-05:00
1775952551004040400,62.72904052734375,155.56185122858733,1.60505565260692,-1,32.953302192928284,183.05714389216155,-1,17.474134193392477,5.070098256320678,-96.79491455844855,0.4416307426443378,2026-04-11T19:09:11.004-05:00
1775952552004047600,63.729047607421876,155.51360551360995,1.2490703390391062,-1,32.95330473728958,183.00889817718416,-1,17.40679132589286,5.355853051108,-96.79491431524157,0.08642141761353996,2026-04-11T19:09:12.004-05:00
1775952553004055800,64.72905590820312,155.33702503331006,1.4336124972998578,-1,32.95330887435815,182.83231769688427,-1,17.4069062251372,5.1409411146514605,-96.79491207812211,0.20732710015836706,2026-04-11T19:09:13.004-05:00
1775952554004063500,65.7290634765625,155.33200006652623,1.3779560518812937,-1,32.953308464339784,182.82729273010045,-1,17.406906927483234,5.408538037231594,-96.79490879498054,0.1902182675151328,2026-04-11T19:09:14.004-05:00
1775952555004072400,66.72907250976563,155.28825872950256,1.2447898509101176,-1,32.95331384709636,182.78355139307678,-1,17.32838837587606,5.5841141202238935,-96.7949062224402,0.05776301838976785,2026-04-11T19:09:15.004-05:00
1775952556004080600,67.72908056640625,155.27616355475038,1.259116453761737,-1,32.95332071837993,182.7714562183246,-1,16.97609438710578,5.666068053151657,-96.79490618356274,0.09014595109045276,2026-04-11T19:09:16.004-05:00
1775952557004087800,68.729087890625,155.21867894846946,1.1522777646058355,-1,32.953316625182964,182.71397161204368,-1,17.38356166603137,5.974493613740269,-96.79491978580522,0.06548801298951155,2026-04-11T19:09:17.004-05:00
1775952558004097000,69.72909692382812,155.2779197609052,1.4045075478255347,-1,32.953321351188976,182.77321242447942,-1,17.134483929870054,6.237055221917279,-96.79492450373695,0.24996520136742462,2026-04-11T19:09:18.004-05:00
1775952559004105500,70.72910546875,155.17923329491168,1.1004487709863926,-1,32.9533228756933,182.6745259584859,-1,16.9630338960977,6.19554230480274,-96.79492844992429,0.016323109652734393,2026-04-11T19:09:19.004-05:00
1775952560004113200,71.72911303710937,155.13555489107966,1.0018924693888802,-1,32.953321399681926,182.63084755465388,-1,16.6160210288534,6.2863963727042265,-96.79493605694196,0.04798893752864169,2026-04-11T19:09:20.004-05:00
1775952561004122000,72.7291220703125,155.231033179909,1.3961844973999855,-1,32.95330779086829,182.7263258434832,-1,16.381349681270923,6.414720347065452,-96.79494286072446,0.08224135882768957,2026-04-11T19:09:21.004-05:00
1775952562004131000,73.72913110351563,155.30296053923666,1.2263611634600373,-1,32.95331186838879,182.79825320281088,-1,16.334903548477747,6.337145739716839,-96.7949399424791,0.05029332864217989,2026-04-11T19:09:22.004-05:00
1775952563004139000,74.72913891601563,155.43419561628252,1.4687226343714945,-1,32.95331205833139,182.92948827985674,-1,16.334903548477747,6.372652072405824,-96.79493350148091,0.2741249235338028,2026-04-11T19:09:23.004-05:00
1775952564004147500,75.7291474609375,155.57287568133324,1.1364280832823035,-1,32.95331697504008,183.06816834490746,-1,16.162306849550742,6.643715385357856,-96.79492819902146,0.16930219491853207,2026-04-11T19:09:24.004-05:00
1775952565004156400,76.72915649414062,155.97265781927854,1.0551314591644112,-1,32.953308450258085,183.46795048285276,-1,15.974930081857064,6.763354743502534,-96.79493402474162,0.348134391738546,2026-04-11T19:09:25.004-05:00
1775952566004165400,77.72916528320313,155.81682238634676,0.38656301539839616,-1,32.953316387317244,183.31211504992098,-1,16.185259037563302,6.838185329959429,-96.7949382776186,0.07501230363996733,2026-04-11T19:09:26.004-05:00
