absolute_timestamp,gyro_x,gyro_y,gyro_z
1775857200320,-0.032,0.061,0.077
1775857200340,-0.028,0.071,0.081
1775857200360,-0.029,0.081,0.082
1775857200379,-0.027,0.083,0.077
1775857200399,-0.021,0.077,0.069
1775857200419,-0.021,0.073,0.063
1775857200439,-0.023,0.070,0.057
1775857200458,-0.021,0.063,0.048
1775857200478,-0.019,0.057,0.041
1775857200498,-0.021,0.055,0.036
1775857200518,-0.029,0.056,0.031
1775857200537,-0.030,0.055,0.022
1775857200557,-0.028,0.050,0.010
1775857200577,-0.026,0.047,0.006
1775857200597,-0.021,0.046,-0.002
1775857200616,-0.020,0.038,-0.020
1775857200636,-0.021,0.022,-0.030
1775857200656,-0.020,0.009,-0.023
1775857200676,-0.007,0.000,-0.017
1775857200695,0.008,-0.015,-0.021
1775857200715,0.018,-0.030,-0.025
1775857200735,0.021,-0.035,-0.032
1775857200755,0.024,-0.037,-0.043
1775857200774,0.027,-0.036,-0.053
1775857200794,0.029,-0.031,-0.059
1775857200814,0.034,-0.027,-0.060
1775857200834,0.040,-0.024,-0.058
1775857200853,0.050,-0.022,-0.057
1775857200873,0.055,-0.023,-0.057
1775857200893,0.059,-0.027,-0.059
1775857200913,0.056,-0.034,-0.061
1775857200932,0.046,-0.037,-0.062
1775857200952,0.037,-0.039,-0.059
1775857200972,0.027,-0.038,-0.047
1775857200992,0.026,-0.029,-0.040
1775857201011,0.028,-0.026,-0.041
1775857201031,0.031,-0.028,-0.040
1775857201051,0.031,-0.026,-0.039
1775857201071,0.029,-0.029,-0.041
1775857201090,0.025,-0.035,-0.040
1775857201110,0.023,-0.040,-0.036
1775857201130,0.026,-0.044,-0.037
1775857201150,0.028,-0.049,-0.038
1775857201169,0.029,-0.052,-0.036
1775857201189,0.028,-0.055,-0.035
1775857201209,0.026,-0.057,-0.038
1775857201229,0.025,-0.062,-0.039
1775857201248,0.028,-0.071,-0.040
1775857201268,0.031,-0.081,-0.032
1775857201288,0.041,-0.091,-0.027
1775857201308,0.051,-0.100,-0.023
1775857201328,0.059,-0.104,-0.014
1775857201347,0.068,-0.106,-0.010
1775857201367,0.067,-0.105,-0.017
1775857201387,0.057,-0.098,-0.020
1775857201407,0.049,-0.082,-0.015
1775857201426,0.043,-0.070,-0.017
1775857201446,0.038,-0.067,-0.027
1775857201466,0.036,-0.071,-0.036
1775857201486,0.037,-0.076,-0.040
1775857201505,0.039,-0.077,-0.038
1775857201525,0.042,-0.079,-0.035
1775857201545,0.039,-0.077,-0.027
1775857201565,0.031,-0.066,-0.014
1775857201584,0.023,-0.055,-0.009
1775857201604,0.016,-0.051,-0.013
1775857201624,0.010,-0.052,-0.015
1775857201644,0.003,-0.054,-0.015
1775857201663,0.003,-0.062,-0.013
1775857201683,0.004,-0.070,-0.013
1775857201703,0.005,-0.073,-0.014
1775857201723,0.003,-0.073,-0.017
1775857201742,0.010,-0.073,-0.020
1775857201762,0.017,-0.080,-0.023
1775857201782,0.017,-0.088,-0.028
1775857201802,0.019,-0.097,-0.034
1775857201821,0.022,-0.110,-0.043
1775857201841,0.027,-0.123,-0.048
1775857201861,0.038,-0.134,-0.049
1775857201881,0.045,-0.143,-0.051
1775857201900,0.046,-0.156,-0.058
1775857201920,0.050,-0.174,-0.063
1775857201940,0.061,-0.201,-0.065
1775857201960,0.072,-0.248,-0.068
1775857201979,0.081,-0.321,-0.078
1775857201999,0.087,-0.393,-0.090
1775857202019,0.086,-0.429,-0.094
1775857202039,0.087,-0.432,-0.098
1775857202058,0.089,-0.423,-0.105
1775857202078,0.087,-0.399,-0.108
1775857202098,0.085,-0.356,-0.109
1775857202118,0.079,-0.309,-0.112
1775857202137,0.073,-0.268,-0.117
1775857202157,0.073,-0.232,-0.118
1775857202177,0.072,-0.194,-0.116
1775857202197,0.068,-0.157,-0.111
1775857202216,0.064,-0.129,-0.112
1775857202236,0.061,-0.115,-0.118
1775857202256,0.059,-0.106,-0.114
1775857202276,0.054,-0.101,-0.110
1775857202295,0.051,-0.109,-0.118
1775857202315,0.052,-0.126,-0.125
1775857202335,0.058,-0.136,-0.134
1775857202355,0.064,-0.142,-0.144
1775857202374,0.075,-0.153,-0.153
1775857202394,0.087,-0.164,-0.160
1775857202414,0.097,-0.172,-0.160
1775857202434,0.101,-0.180,-0.160
1775857202453,0.100,-0.185,-0.155
1775857202473,0.095,-0.181,-0.147
1775857202493,0.087,-0.170,-0.139
1775857202513,0.077,-0.155,-0.128
1775857202532,0.072,-0.139,-0.117
1775857202552,0.067,-0.126,-0.108
1775857202572,0.062,-0.113,-0.102
1775857202592,0.058,-0.104,-0.093
1775857202611,0.053,-0.097,-0.082
1775857202631,0.046,-0.095,-0.074
1775857202651,0.040,-0.093,-0.066
1775857202671,0.036,-0.088,-0.053
1775857202690,0.029,-0.080,-0.044
1775857202710,0.021,-0.073,-0.036
1775857202730,0.015,-0.064,-0.025
1775857202750,0.010,-0.052,-0.013
1775857202769,0.002,-0.037,-0.007
1775857202789,-0.008,-0.023,-0.003
1775857202809,-0.015,-0.012,0.005
1775857202829,-0.027,-0.004,0.010
1775857202849,-0.040,0.000,0.010
1775857202888,-0.054,-0.006,-0.001
1775857202908,-0.053,-0.008,0.001
1775857202928,-0.051,-0.005,0.000
1775857202947,-0.043,-0.008,-0.008
1775857202967,-0.030,-0.012,-0.010
1775857202987,-0.020,-0.009,-0.007
1775857203007,-0.015,-0.005,-0.005
1775857203026,-0.010,-0.004,-0.001
1775857203046,-0.006,-0.001,0.002
1775857203066,-0.005,0.003,0.006
1775857203086,-0.008,0.006,0.005
1775857203105,-0.009,0.008,0.005
1775857203125,-0.010,0.010,0.004
1775857203145,-0.012,0.010,0.003
1775857203165,-0.013,0.010,0.003
1775857203184,-0.012,0.009,0.004
1775857203204,-0.011,0.003,0.003
1775857203224,-0.010,-0.003,0.003
1775857203244,-0.009,-0.004,0.004
1775857203263,-0.008,-0.002,0.004
1775857203283,-0.007,0.002,0.005
1775857203303,-0.006,0.004,0.006
1775857203323,-0.008,0.007,0.008
1775857203342,-0.010,0.008,0.010
1775857203362,-0.014,0.007,0.011
1775857203382,-0.019,0.010,0.013
1775857203402,-0.022,0.016,0.015
1775857203421,-0.028,0.021,0.016
1775857203441,-0.033,0.024,0.015
1775857203461,-0.037,0.021,0.011
1775857203481,-0.037,0.018,0.011
1775857203500,-0.032,0.017,0.017
1775857203520,-0.028,0.017,0.015
1775857203540,-0.025,0.017,0.011
1775857203560,-0.021,0.018,0.011
1775857203579,-0.015,0.019,0.013
1775857203599,-0.011,0.019,0.012
1775857203619,-0.010,0.015,0.009
1775857203639,-0.010,0.010,0.009
1775857203658,-0.009,0.007,0.008
1775857203678,-0.007,0.005,0.005
1775857203698,-0.003,0.001,0.004
1775857203718,-0.000,-0.001,0.005
1775857203737,0.001,0.001,0.005
1775857203757,0.001,0.002,0.004
1775857203777,0.001,0.005,0.005
1775857203797,0.001,0.006,0.004
1775857203816,0.000,0.004,0.003
1775857203836,-0.001,0.001,0.001
1775857203856,-0.001,-0.002,-0.001
1775857203876,-0.001,-0.004,-0.003
1775857203895,-0.000,-0.004,-0.004
1775857203915,-0.002,-0.002,-0.004
1775857203935,-0.002,-0.000,-0.006
1775857203955,-0.001,-0.002,-0.007
1775857203974,-0.000,-0.001,-0.005
1775857203994,-0.002,-0.000,-0.005
1775857204014,-0.003,0.000,-0.005
1775857204034,-0.001,0.000,-0.005
1775857204053,0.000,-0.000,-0.004
1775857204073,-0.001,0.000,-0.005
1775857204093,-0.003,0.001,-0.005
1775857204113,-0.003,0.002,-0.005
1775857204132,-0.002,0.002,-0.005
1775857204152,-0.002,0.001,-0.003
1775857204172,-0.001,0.000,-0.004
1775857204192,-0.002,-0.003,-0.006
1775857204211,-0.003,-0.005,-0.005
1775857204231,-0.003,-0.004,-0.001
1775857204251,-0.001,-0.001,-0.003
1775857204271,0.001,0.001,-0.006
1775857204290,-0.001,0.002,-0.008
1775857204310,-0.001,0.001,-0.007
1775857204330,0.000,-0.003,-0.006
1775857204369,-0.000,-0.008,-0.009
1775857204389,0.000,-0.008,-0.007
1775857204409,0.001,-0.006,-0.006
1775857204429,0.002,-0.004,-0.004
1775857204448,0.001,-0.002,-0.002
1775857204468,0.002,-0.002,-0.003
1775857204488,0.005,-0.003,-0.003
1775857204508,0.005,-0.003,-0.002
1775857204527,0.004,-0.001,-0.000
1775857204547,0.004,0.000,-0.001
1775857204567,0.004,-0.000,-0.001
1775857204587,0.003,-0.001,-0.001
1775857204606,0.001,-0.002,-0.001
1775857204626,0.001,-0.003,-0.001
1775857204646,0.002,-0.001,-0.002
1775857204666,0.003,0.001,-0.002
1775857204685,0.004,0.003,-0.004
1775857204705,0.004,0.000,-0.004
1775857204725,0.005,-0.002,-0.003
1775857204745,0.005,-0.003,-0.003
1775857204764,0.005,-0.003,-0.003
1775857204784,0.005,-0.002,-0.003
1775857204804,0.004,-0.001,-0.005
1775857204824,0.003,-0.000,-0.004
1775857204843,0.001,-0.002,-0.006
1775857204863,0.002,-0.004,-0.004
1775857204883,0.001,-0.003,-0.004
1775857204903,0.001,-0.002,-0.005
1775857204922,0.001,-0.002,-0.008
1775857204942,0.002,-0.002,-0.005
1775857204962,0.003,-0.001,-0.001
1775857204982,0.005,0.000,-0.003
1775857205001,0.004,0.001,-0.005
1775857205021,0.003,0.003,-0.006
1775857205041,0.002,0.004,-0.003
1775857205061,0.003,0.002,-0.004
1775857205080,0.002,-0.001,-0.004
1775857205100,-0.000,-0.004,-0.004
1775857205120,-0.002,-0.004,-0.005
1775857205140,-0.001,-0.003,-0.005
1775857205159,0.001,-0.000,-0.003
1775857205179,0.000,0.001,-0.001
1775857205199,-0.002,0.002,-0.002
1775857205219,-0.003,0.001,-0.002
1775857205238,-0.003,-0.001,-0.001
1775857205258,-0.004,-0.002,-0.001
1775857205278,-0.006,-0.002,-0.002
1775857205298,-0.009,-0.003,-0.003
1775857205317,-0.010,-0.005,-0.005
1775857205337,-0.010,-0.007,-0.007
1775857205357,-0.009,-0.009,-0.007
1775857205377,-0.009,-0.009,-0.007
1775857205396,-0.008,-0.009,-0.010
1775857205416,-0.007,-0.008,-0.011
1775857205436,-0.005,-0.005,-0.009
1775857205456,-0.004,-0.003,-0.009
1775857205475,-0.004,-0.005,-0.009
1775857205495,-0.004,-0.007,-0.009
1775857205515,-0.002,-0.007,-0.006
1775857205535,-0.002,-0.006,-0.005
1775857205554,-0.002,-0.005,-0.005
1775857205574,-0.003,-0.003,-0.003
1775857205594,-0.004,-0.002,-0.005
1775857205614,-0.005,-0.004,-0.008
1775857205633,-0.005,-0.007,-0.010
1775857205653,-0.004,-0.010,-0.007
1775857205673,-0.007,-0.012,-0.010
1775857205693,-0.009,-0.011,-0.013
1775857205712,-0.012,-0.008,-0.017
1775857205732,-0.013,-0.004,-0.016
1775857205752,-0.015,-0.003,-0.015
1775857205772,-0.018,-0.003,-0.016
1775857205792,-0.019,-0.004,-0.016
1775857205811,-0.021,-0.006,-0.017
1775857205831,-0.023,-0.005,-0.019
1775857205871,-0.021,-0.003,-0.016
1775857205890,-0.021,0.001,-0.018
1775857205910,-0.017,0.003,-0.018
1775857205930,-0.015,0.005,-0.018
1775857205950,-0.012,0.005,-0.015
1775857205969,-0.011,0.007,-0.014
1775857205989,-0.012,0.007,-0.015
