absolute_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1773292813596593000,-0.334995,4.158726,9.020942,0.196088,-0.137139,-0.002291
1773292813597018000,-0.354138,4.130012,8.997013,0.196088,-0.137139,-0.002291
1773292813598753468,-0.354138,4.130012,8.997013,0.189979,-0.128587,-0.001069
1773292813599178468,-0.378066,4.101298,9.001799,0.189979,-0.128587,-0.001069
1773292813600913937,-0.378066,4.101298,9.001799,0.183870,-0.116370,-0.001069
1773292813601338937,-0.401994,4.082155,9.044869,0.183870,-0.116370,-0.001069
1773292813603074458,-0.401994,4.082155,9.044869,0.180205,-0.105374,0.001374
1773292813603499458,-0.435494,4.058227,9.092726,0.180205,-0.105374,0.001374
1773292813605234927,-0.435494,4.058227,9.092726,0.177762,-0.095600,0.006261
1773292813605659927,-0.440279,4.039084,9.131011,0.177762,-0.095600,0.006261
1773292813607395396,-0.440279,4.039084,9.131011,0.174096,-0.077274,0.011148
1773292813607820396,-0.492921,4.034299,9.150154,0.174096,-0.077274,0.011148
1773292813609555864,-0.492921,4.034299,9.150154,0.170431,-0.063835,0.019700
1773292813609980864,-0.507278,4.015156,9.159725,0.170431,-0.063835,0.019700
1773292813611716333,-0.507278,4.015156,9.159725,0.166766,-0.049175,0.025809
1773292813612141333,-0.521635,4.019942,9.135797,0.166766,-0.049175,0.025809
1773292813613876802,-0.521635,4.019942,9.135797,0.160657,-0.039401,0.033139
1773292813614301802,-0.550349,4.015156,9.121440,0.160657,-0.039401,0.033139
1773292813616037271,-0.550349,4.015156,9.121440,0.158214,-0.034514,0.040470
1773292813616462271,-0.564706,4.005585,9.064013,0.158214,-0.034514,0.040470
1773292813618197739,-0.564706,4.005585,9.064013,0.150884,-0.025962,0.045357
1773292813618622739,-0.569492,3.991228,8.997013,0.150884,-0.025962,0.045357
1773292813620358208,-0.569492,3.991228,8.997013,0.142331,-0.025962,0.050244
1773292813620783208,-0.588634,3.981657,8.934800,0.142331,-0.025962,0.050244
1773292813622518677,-0.588634,3.981657,8.934800,0.135001,-0.021075,0.055131
1773292813622943677,-0.583849,3.943372,8.853444,0.135001,-0.021075,0.055131
1773292813624679146,-0.583849,3.943372,8.853444,0.127671,-0.023518,0.060017
